Using AOMedia Project AV1 Encoder v3.11.0
[HIDE] rd_plus:   4644, rd_minus:     -1, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 1 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   3446, rd_minus:   4688, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 21 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:     -1, rd_minus:   9018, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 22 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   3126, rd_minus:   2240, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 23 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:  11266, rd_minus:     -1, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 24 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   2612, rd_minus:     -1, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 25 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   5450, rd_minus:   5172, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 26 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   2060, rd_minus:     -1, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 27 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   1824, rd_minus:     -1, [ANGLE_HIDE] embedded 1, written_angle 1, bit_index 28 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   1674, rd_minus:     -1, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 29 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:    826, rd_minus:     -1, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 30 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   1772, rd_minus:   1766, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 31 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   1760, rd_minus:   1780, [ANGLE_HIDE] embedded 1, written_angle 1, bit_index 32 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   1472, rd_minus:   1728, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 33 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:    898, rd_minus:    926, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 34 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   1856, rd_minus:   1858, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 35 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   6340, rd_minus:   5842, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 36 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   2096, rd_minus:   2236, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 37 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   4738, rd_minus:   5706, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 38 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   7418, rd_minus:   6778, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 39 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:  16472, rd_minus:  16718, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 40 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   3356, rd_minus:   3108, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 41 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:    776, rd_minus:     -1, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 42 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   3880, rd_minus:   3164, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 43 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:    632, rd_minus:    216, [ANGLE_HIDE] embedded 1, written_angle 3, bit_index 44 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   7984, rd_minus:   5762, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 45 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   6836, rd_minus:   6522, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 46 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   1202, rd_minus:   1256, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 47 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   2778, rd_minus:   2662, [ANGLE_HIDE] embedded 1, written_angle 3, bit_index 48 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:    320, rd_minus:    114, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 49 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:  11714, rd_minus:   9548, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 50 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   3808, rd_minus:   1544, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 51 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   4824, rd_minus:   5192, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 52 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   1276, rd_minus:   1344, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 53 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   1926, rd_minus:   1752, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 54 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   2368, rd_minus:   1584, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 55 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   1954, rd_minus:   1878, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 56 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   7992, rd_minus:   2860, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 57 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:    368, rd_minus:    440, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 58 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:     -1, rd_minus:    328, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 59 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   8946, rd_minus:   5316, [ANGLE_HIDE] embedded 1, written_angle 5, bit_index 60 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:     -1, rd_minus:   3864, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 61 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   7416, rd_minus:   6808, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 62 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   1716, rd_minus:   1748, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 63 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:    778, rd_minus:    780, [ANGLE_HIDE] embedded 1, written_angle 3, bit_index 64 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   3736, rd_minus:   5284, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 65 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:     -1, rd_minus:   2856, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 66 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   3324, rd_minus:   4354, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 67 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:    108, rd_minus:    146, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 68 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:    330, rd_minus:    420, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 69 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:     62, rd_minus:     52, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 70 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   2888, rd_minus:   3938, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 71 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:     -1, rd_minus:   3918, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 72 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:     -1, rd_minus:   6048, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 73 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:    366, rd_minus:    330, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 74 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   8056, rd_minus:   6628, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 75 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   5366, rd_minus:   4634, [ANGLE_HIDE] embedded 1, written_angle 3, bit_index 76 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:     -1, rd_minus:    376, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 77 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:    224, rd_minus:    152, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 78 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   1560, rd_minus:   2196, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 79 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   2816, rd_minus:     -1, [ANGLE_HIDE] embedded 1, written_angle 1, bit_index 80 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   7594, rd_minus:   7548, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 81 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   2708, rd_minus:   2840, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 82 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:     -1, rd_minus:   3240, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 83 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:    430, rd_minus:    748, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 84 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:     -1, rd_minus:   3064, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 85 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   2776, rd_minus:   2956, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 86 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:     -1, rd_minus:   7116, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 87 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:    632, rd_minus:    594, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 88 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   4058, rd_minus:   3860, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 89 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   3442, rd_minus:   4668, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 90 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   2092, rd_minus:   3016, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 91 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:    294, rd_minus:    300, [ANGLE_HIDE] embedded 1, written_angle 3, bit_index 92 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   1138, rd_minus:   1340, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 93 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:    378, rd_minus:    356, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 94 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:    202, rd_minus:    128, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 95 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:    570, rd_minus:    534, [ANGLE_HIDE] embedded 1, written_angle 3, bit_index 96 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:     -1, rd_minus:   1896, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 97 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:    992, rd_minus:    998, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 98 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   8896, rd_minus:   8896, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 99 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   6576, rd_minus:   5276, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 100 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   4136, rd_minus:   9624, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 101 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:    168, rd_minus:     -1, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 102 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:  13432, rd_minus:  13564, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 103 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   6944, rd_minus:   3972, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 104 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   4880, rd_minus:   5196, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 105 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:     -1, rd_minus:   1078, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 106 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:     -1, rd_minus:   1918, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 107 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   1178, rd_minus:   1140, [ANGLE_HIDE] embedded 1, written_angle 3, bit_index 108 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:    674, rd_minus:    698, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 109 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   1000, rd_minus:   1012, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 110 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   4722, rd_minus:   6896, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 111 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   4068, rd_minus:  10592, [ANGLE_HIDE] embedded 1, written_angle 3, bit_index 112 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   1580, rd_minus:   1418, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 113 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   2840, rd_minus:   1934, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 114 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   2236, rd_minus:   8224, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 115 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   4456, rd_minus:   8084, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 116 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   2580, rd_minus:   4338, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 117 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:     -1, rd_minus:   1920, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 118 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:  12776, rd_minus:  14966, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 119 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   1062, rd_minus:     -1, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 120 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:     -1, rd_minus:   1740, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 121 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:     -1, rd_minus:   1650, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 122 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   1794, rd_minus:   1778, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 123 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:    164, rd_minus:    206, [ANGLE_HIDE] embedded 1, written_angle 1, bit_index 124 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   2170, rd_minus:   2094, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 125 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:     -1, rd_minus:   1880, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 126 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   8176, rd_minus:     -1, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 127 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:     -1, rd_minus:    976, [ANGLE_HIDE] embedded 1, written_angle 5, bit_index 128 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:    816, rd_minus:    796, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 129 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:     -1, rd_minus:   1872, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 130 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:    350, rd_minus:     -1, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 131 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:    392, rd_minus:    348, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 132 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:     80, rd_minus:     -1, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 133 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:     -1, rd_minus:   1768, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 134 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:    538, rd_minus:    406, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 135 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:     76, rd_minus:     64, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 136 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   1158, rd_minus:   1156, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 137 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   4836, rd_minus:   4772, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 138 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   1862, rd_minus:   1854, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 139 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   1250, rd_minus:   1778, [ANGLE_HIDE] embedded 1, written_angle 5, bit_index 140 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:    898, rd_minus:     -1, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 141 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   2116, rd_minus:   1396, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 142 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   1578, rd_minus:    884, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 143 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   3572, rd_minus:   3112, [ANGLE_HIDE] embedded 1, written_angle 1, bit_index 144 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   1852, rd_minus:   2888, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 145 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   4548, rd_minus:   3076, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 146 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   3414, rd_minus:   2624, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 147 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   6042, rd_minus:   3850, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 148 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:    506, rd_minus:    504, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 149 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:    966, rd_minus:     -1, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 150 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   2392, rd_minus:   2392, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 151 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:    942, rd_minus:    920, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 152 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   2380, rd_minus:   2616, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 153 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   4616, rd_minus:   4814, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 154 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:  11528, rd_minus:  11488, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 155 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:     -1, rd_minus:  11732, [ANGLE_HIDE] embedded 1, written_angle 5, bit_index 156 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   8464, rd_minus:   7588, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 157 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:    124, rd_minus:    306, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 158 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:     -1, rd_minus:   1304, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 159 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   7880, rd_minus:     -1, [ANGLE_HIDE] embedded 1, written_angle 1, bit_index 160 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   1314, rd_minus:   1266, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 161 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:     16, rd_minus:     16, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 162 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:    750, rd_minus:   1264, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 163 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:    672, rd_minus:     -1, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 164 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   6504, rd_minus:   9500, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 165 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:    528, rd_minus:     -1, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 166 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:     12, rd_minus:     12, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 167 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:    530, rd_minus:    736, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 168 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   6344, rd_minus:   5370, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 169 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   6280, rd_minus:   6096, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 170 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:  11784, rd_minus:  11584, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 171 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   4428, rd_minus:   5128, [ANGLE_HIDE] embedded 1, written_angle 1, bit_index 172 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   4530, rd_minus:   4802, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 173 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   4910, rd_minus:   5656, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 174 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   6074, rd_minus:   5992, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 175 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:  22396, rd_minus:  16030, [ANGLE_HIDE] embedded 1, written_angle 3, bit_index 176 / 2072, payload_bits 2048, end_bits 24
