Using AOMedia Project AV1 Encoder v3.11.0
[HIDE] rd_plus:   8608, rd_minus:     -1, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 1 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   4290, rd_minus:   4134, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 36 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:     -1, rd_minus:  16186, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 37 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:  26044, rd_minus:  26452, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 38 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   3112, rd_minus:   3864, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 39 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:  12434, rd_minus:  16228, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 40 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   2404, rd_minus:   2278, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 41 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:    752, rd_minus:    658, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 42 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   5652, rd_minus:   5432, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 43 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   4780, rd_minus:     -1, [ANGLE_HIDE] embedded 1, written_angle 1, bit_index 44 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:  30168, rd_minus:  26720, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 45 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   1692, rd_minus:   1428, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 46 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   3948, rd_minus:   4168, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 47 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   6602, rd_minus:   4826, [ANGLE_HIDE] embedded 1, written_angle 3, bit_index 48 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:  10662, rd_minus:  16108, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 49 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   1970, rd_minus:   7996, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 50 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   5518, rd_minus:   5378, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 51 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:    972, rd_minus:   1424, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 52 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:     -1, rd_minus:   6378, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 53 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   2640, rd_minus:   2748, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 54 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   7176, rd_minus:   7976, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 55 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   7418, rd_minus:   8192, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 56 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   9576, rd_minus:  10688, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 57 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   1120, rd_minus:   1120, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 58 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:  28262, rd_minus:  28310, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 59 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:  21946, rd_minus:  21844, [ANGLE_HIDE] embedded 1, written_angle 3, bit_index 60 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   5642, rd_minus:   4676, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 61 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   2906, rd_minus:   4768, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 62 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   6086, rd_minus:   4504, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 63 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:  13124, rd_minus:  13130, [ANGLE_HIDE] embedded 1, written_angle 3, bit_index 64 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:     -1, rd_minus:   4060, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 65 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:    560, rd_minus:    554, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 66 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   6346, rd_minus:   5536, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 67 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:    494, rd_minus:    398, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 68 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:  10288, rd_minus:  10756, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 69 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   1996, rd_minus:     -1, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 70 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   5172, rd_minus:   5284, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 71 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   2190, rd_minus:   2014, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 72 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   3756, rd_minus:   3884, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 73 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   8764, rd_minus:   7526, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 74 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   5288, rd_minus:   3362, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 75 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   3194, rd_minus:   6394, [ANGLE_HIDE] embedded 1, written_angle 5, bit_index 76 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:  10476, rd_minus:  11212, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 77 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   9308, rd_minus:   9508, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 78 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   4776, rd_minus:   4476, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 79 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   2496, rd_minus:   3114, [ANGLE_HIDE] embedded 1, written_angle 5, bit_index 80 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   4144, rd_minus:   6488, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 81 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   2252, rd_minus:   2180, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 82 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   2738, rd_minus:   3274, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 83 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   1058, rd_minus:   2580, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 84 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   4844, rd_minus:   8342, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 85 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:  12804, rd_minus:  13020, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 86 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:  16006, rd_minus:  16360, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 87 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:  29164, rd_minus:  28430, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 88 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   6232, rd_minus:   6150, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 89 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   4024, rd_minus:     -1, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 90 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:     -1, rd_minus:    318, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 91 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   8612, rd_minus:   8612, [ANGLE_HIDE] embedded 1, written_angle 3, bit_index 92 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   3024, rd_minus:   2054, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 93 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   3326, rd_minus:   2606, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 94 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   5226, rd_minus:   4744, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 95 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   4816, rd_minus:   4816, [ANGLE_HIDE] embedded 1, written_angle 3, bit_index 96 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:     -1, rd_minus:    458, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 97 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:     -1, rd_minus:    304, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 98 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:    192, rd_minus:     -1, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 99 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:    128, rd_minus:    132, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 100 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   5404, rd_minus:   8412, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 101 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   9744, rd_minus:   6310, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 102 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   6758, rd_minus:   8150, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 103 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   3004, rd_minus:   3174, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 104 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   1526, rd_minus:     -1, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 105 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   6142, rd_minus:  10226, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 106 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   1100, rd_minus:   1068, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 107 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:  21750, rd_minus:  22354, [ANGLE_HIDE] embedded 1, written_angle 3, bit_index 108 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   9380, rd_minus:     -1, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 109 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   7740, rd_minus:   8834, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 110 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   1208, rd_minus:   1102, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 111 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:    734, rd_minus:    698, [ANGLE_HIDE] embedded 1, written_angle 3, bit_index 112 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:    646, rd_minus:    618, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 113 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:     -1, rd_minus:    600, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 114 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:  10586, rd_minus:  14040, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 115 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:     -1, rd_minus:  15768, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 116 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:     -1, rd_minus:    910, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 117 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:     -1, rd_minus:   9584, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 118 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:  12624, rd_minus:  16094, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 119 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   9246, rd_minus:   8264, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 120 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:  20362, rd_minus:     -1, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 121 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:    340, rd_minus:    474, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 122 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:     -1, rd_minus:   8294, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 123 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   3058, rd_minus:     -1, [ANGLE_HIDE] embedded 1, written_angle 1, bit_index 124 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:  14520, rd_minus:  13548, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 125 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   7888, rd_minus:   9108, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 126 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   6348, rd_minus:   7254, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 127 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:  10352, rd_minus:   5822, [ANGLE_HIDE] embedded 1, written_angle 3, bit_index 128 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:    220, rd_minus:    292, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 129 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:  12122, rd_minus:     -1, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 130 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   1068, rd_minus:   1098, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 131 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:     -1, rd_minus:    868, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 132 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:     -1, rd_minus:    436, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 133 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   1388, rd_minus:     -1, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 134 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:     -1, rd_minus:   5370, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 135 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   4992, rd_minus:   5892, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 136 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:    506, rd_minus:    766, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 137 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:    306, rd_minus:    406, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 138 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:    176, rd_minus:    180, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 139 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:    550, rd_minus:    614, [ANGLE_HIDE] embedded 1, written_angle 3, bit_index 140 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:    914, rd_minus:    924, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 141 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:     -1, rd_minus:   3060, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 142 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   5254, rd_minus:   5598, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 143 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   1588, rd_minus:   1910, [ANGLE_HIDE] embedded 1, written_angle 5, bit_index 144 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   5272, rd_minus:   5248, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 145 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   3904, rd_minus:   2312, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 146 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:     -1, rd_minus:   2672, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 147 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   1184, rd_minus:     -1, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 148 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:     -1, rd_minus:   6820, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 149 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:  19912, rd_minus:  15222, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 150 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   3768, rd_minus:     -1, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 151 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   3122, rd_minus:   3114, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 152 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   7992, rd_minus:   8958, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 153 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:     -1, rd_minus:   5266, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 154 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:  23350, rd_minus:  24892, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 155 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:  11116, rd_minus:  12552, [ANGLE_HIDE] embedded 1, written_angle 3, bit_index 156 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   6244, rd_minus:     -1, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 157 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   6036, rd_minus:   6020, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 158 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:    360, rd_minus:    356, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 159 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:     -1, rd_minus:   2444, [ANGLE_HIDE] embedded 1, written_angle 5, bit_index 160 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:     -1, rd_minus:   5624, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 161 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   5198, rd_minus:   3820, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 162 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:    246, rd_minus:    212, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 163 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:    836, rd_minus:    844, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 164 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   5050, rd_minus:   5438, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 165 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   7070, rd_minus:   6926, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 166 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   1972, rd_minus:   1954, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 167 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   6710, rd_minus:   6612, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 168 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   3334, rd_minus:   3332, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 169 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:     -1, rd_minus:   7576, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 170 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:    248, rd_minus:    240, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 171 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:  16350, rd_minus:  15924, [ANGLE_HIDE] embedded 1, written_angle 3, bit_index 172 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:    424, rd_minus:    424, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 173 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   2264, rd_minus:   2778, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 174 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:     -1, rd_minus:   4072, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 175 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   3738, rd_minus:   3686, [ANGLE_HIDE] embedded 1, written_angle 1, bit_index 176 / 2072, payload_bits 2048, end_bits 24
