Using AOMedia Project AV1 Encoder v3.11.0
[HIDE] rd_plus:     -1, rd_minus:   3230, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 1 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   3992, rd_minus:   3990, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 13 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   4014, rd_minus:   4008, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 14 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   7194, rd_minus:   6866, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 15 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:     -1, rd_minus:   4264, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 16 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   2216, rd_minus:   1956, [ANGLE_HIDE] embedded 1, written_angle 5, bit_index 17 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   1076, rd_minus:   1080, [ANGLE_HIDE] embedded 1, written_angle 1, bit_index 18 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   2648, rd_minus:   2650, [ANGLE_HIDE] embedded 1, written_angle 3, bit_index 19 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:     -1, rd_minus:   1432, [ANGLE_HIDE] embedded 1, written_angle 5, bit_index 20 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:    946, rd_minus:     -1, [ANGLE_HIDE] embedded 1, written_angle 1, bit_index 21 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:  11476, rd_minus:  10398, [ANGLE_HIDE] embedded 1, written_angle 3, bit_index 22 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   6334, rd_minus:   5638, [ANGLE_HIDE] embedded 1, written_angle 3, bit_index 23 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   5544, rd_minus:     -1, [ANGLE_HIDE] embedded 1, written_angle 1, bit_index 24 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   1550, rd_minus:     -1, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 25 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   1292, rd_minus:   1332, [ANGLE_HIDE] embedded 1, written_angle 3, bit_index 26 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   5052, rd_minus:   4724, [ANGLE_HIDE] embedded 1, written_angle 3, bit_index 27 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   2424, rd_minus:   2392, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 28 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   4102, rd_minus:     -1, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 29 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:  12158, rd_minus:  11098, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 30 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:  11988, rd_minus:  16252, [ANGLE_HIDE] embedded 1, written_angle 3, bit_index 31 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:  12870, rd_minus:  12874, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 32 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:     -1, rd_minus:  14350, [ANGLE_HIDE] embedded 1, written_angle 5, bit_index 33 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   1440, rd_minus:   1446, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 34 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   2440, rd_minus:   2260, [ANGLE_HIDE] embedded 1, written_angle 3, bit_index 35 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:  16466, rd_minus:  14486, [ANGLE_HIDE] embedded 1, written_angle 3, bit_index 36 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   7736, rd_minus:   7058, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 37 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   5234, rd_minus:   6326, [ANGLE_HIDE] embedded 1, written_angle 3, bit_index 38 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:    190, rd_minus:     -1, [ANGLE_HIDE] embedded 1, written_angle 1, bit_index 39 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   3368, rd_minus:     -1, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 40 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:     -1, rd_minus:   2840, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 41 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   3484, rd_minus:   3944, [ANGLE_HIDE] embedded 1, written_angle 3, bit_index 42 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   2218, rd_minus:   2460, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 43 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:    474, rd_minus:    402, [ANGLE_HIDE] embedded 1, written_angle 1, bit_index 44 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:    850, rd_minus:   1042, [ANGLE_HIDE] embedded 1, written_angle 5, bit_index 45 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:  10456, rd_minus:   8622, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 46 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   6740, rd_minus:   5586, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 47 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   2396, rd_minus:   2312, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 48 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   9344, rd_minus:   9082, [ANGLE_HIDE] embedded 1, written_angle 1, bit_index 49 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   6824, rd_minus:     -1, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 50 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   9248, rd_minus:   8096, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 51 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   6794, rd_minus:   6628, [ANGLE_HIDE] embedded 1, written_angle 3, bit_index 52 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   9308, rd_minus:   9024, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 53 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:     -1, rd_minus:   3570, [ANGLE_HIDE] embedded 1, written_angle 5, bit_index 54 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   4380, rd_minus:   5068, [ANGLE_HIDE] embedded 1, written_angle 5, bit_index 55 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:  16010, rd_minus:  17498, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 56 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:     -1, rd_minus:  18516, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 57 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:  19112, rd_minus:  15536, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 58 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:     -1, rd_minus:   5022, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 59 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   5738, rd_minus:   4876, [ANGLE_HIDE] embedded 1, written_angle 3, bit_index 60 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   4338, rd_minus:   3636, [ANGLE_HIDE] embedded 1, written_angle 1, bit_index 61 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:  25912, rd_minus:  20168, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 62 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   7080, rd_minus:   7096, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 63 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   4780, rd_minus:     -1, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 64 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:     -1, rd_minus:   4592, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 65 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   2466, rd_minus:   2184, [ANGLE_HIDE] embedded 1, written_angle 3, bit_index 66 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:  10812, rd_minus:     -1, [ANGLE_HIDE] embedded 1, written_angle 1, bit_index 67 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:     -1, rd_minus:   3126, [ANGLE_HIDE] embedded 1, written_angle 5, bit_index 68 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:    208, rd_minus:    206, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 69 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:  22930, rd_minus:     -1, [ANGLE_HIDE] embedded 1, written_angle 1, bit_index 70 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   1856, rd_minus:   2012, [ANGLE_HIDE] embedded 1, written_angle 3, bit_index 71 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   5388, rd_minus:   5652, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 72 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   3536, rd_minus:   3588, [ANGLE_HIDE] embedded 1, written_angle 5, bit_index 73 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   4308, rd_minus:   4100, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 74 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   3180, rd_minus:     -1, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 75 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:    974, rd_minus:    994, [ANGLE_HIDE] embedded 1, written_angle 3, bit_index 76 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   1624, rd_minus:   1580, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 77 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   8356, rd_minus:   7796, [ANGLE_HIDE] embedded 1, written_angle 3, bit_index 78 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   2794, rd_minus:   2954, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 79 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   2310, rd_minus:   2610, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 80 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   7466, rd_minus:   7568, [ANGLE_HIDE] embedded 1, written_angle 3, bit_index 81 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   4668, rd_minus:     -1, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 82 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   3010, rd_minus:   2896, [ANGLE_HIDE] embedded 1, written_angle 3, bit_index 83 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:  11766, rd_minus:  10354, [ANGLE_HIDE] embedded 1, written_angle 3, bit_index 84 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   1426, rd_minus:   1294, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 85 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   4254, rd_minus:   4364, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 86 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   4130, rd_minus:   4516, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 87 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   5352, rd_minus:   3196, [ANGLE_HIDE] embedded 1, written_angle 3, bit_index 88 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   6754, rd_minus:  12438, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 89 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:    110, rd_minus:    142, [ANGLE_HIDE] embedded 1, written_angle 3, bit_index 90 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:    110, rd_minus:    130, [ANGLE_HIDE] embedded 1, written_angle 5, bit_index 91 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   7516, rd_minus:  11018, [ANGLE_HIDE] embedded 1, written_angle 3, bit_index 92 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   2442, rd_minus:   2280, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 93 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:    320, rd_minus:    350, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 94 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:    112, rd_minus:     -1, [ANGLE_HIDE] embedded 1, written_angle 1, bit_index 95 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:     94, rd_minus:     94, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 96 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:     88, rd_minus:     88, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 97 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   3200, rd_minus:     -1, [ANGLE_HIDE] embedded 1, written_angle 1, bit_index 98 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   3616, rd_minus:   2706, [ANGLE_HIDE] embedded 1, written_angle 3, bit_index 99 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   3410, rd_minus:   3618, [ANGLE_HIDE] embedded 1, written_angle 1, bit_index 100 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:  10518, rd_minus:   6756, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 101 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   6264, rd_minus:   5962, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 102 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   8798, rd_minus:   6830, [ANGLE_HIDE] embedded 1, written_angle 1, bit_index 103 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   1172, rd_minus:   1188, [ANGLE_HIDE] embedded 1, written_angle 3, bit_index 104 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   3520, rd_minus:   3402, [ANGLE_HIDE] embedded 1, written_angle 1, bit_index 105 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   1816, rd_minus:   1984, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 106 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:  12846, rd_minus:  10836, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 107 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   7644, rd_minus:   4870, [ANGLE_HIDE] embedded 1, written_angle 3, bit_index 108 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   6116, rd_minus:   5822, [ANGLE_HIDE] embedded 1, written_angle 5, bit_index 109 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   3490, rd_minus:     -1, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 110 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   5700, rd_minus:   6074, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 111 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   8016, rd_minus:   6482, [ANGLE_HIDE] embedded 1, written_angle 3, bit_index 112 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:  13298, rd_minus:  13282, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 113 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   7454, rd_minus:   7466, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 114 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:  15580, rd_minus:  47866, [ANGLE_HIDE] embedded 1, written_angle 3, bit_index 115 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   2262, rd_minus:     -1, [ANGLE_HIDE] embedded 1, written_angle 1, bit_index 116 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:  17776, rd_minus:  18274, [ANGLE_HIDE] embedded 1, written_angle 1, bit_index 117 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:  13904, rd_minus:  14004, [ANGLE_HIDE] embedded 1, written_angle 3, bit_index 118 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:  14078, rd_minus:  15608, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 119 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   1506, rd_minus:   1436, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 120 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   1764, rd_minus:   1774, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 121 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   1848, rd_minus:     -1, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 122 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:  20172, rd_minus:  20030, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 123 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:  11826, rd_minus:  15582, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 124 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   4746, rd_minus:   4628, [ANGLE_HIDE] embedded 1, written_angle 1, bit_index 125 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   1708, rd_minus:   2906, [ANGLE_HIDE] embedded 1, written_angle 5, bit_index 126 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   3288, rd_minus:   3504, [ANGLE_HIDE] embedded 1, written_angle 3, bit_index 127 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   8264, rd_minus:   4918, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 128 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   4808, rd_minus:     -1, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 129 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   3682, rd_minus:   3416, [ANGLE_HIDE] embedded 1, written_angle 3, bit_index 130 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:  12660, rd_minus:  13610, [ANGLE_HIDE] embedded 1, written_angle 3, bit_index 131 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   3688, rd_minus:   2112, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 132 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   1204, rd_minus:   1050, [ANGLE_HIDE] embedded 1, written_angle 5, bit_index 133 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   1928, rd_minus:   2308, [ANGLE_HIDE] embedded 1, written_angle 1, bit_index 134 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   8878, rd_minus:   7580, [ANGLE_HIDE] embedded 1, written_angle 3, bit_index 135 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:  13498, rd_minus:  14378, [ANGLE_HIDE] embedded 1, written_angle 5, bit_index 136 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:  16396, rd_minus:  17438, [ANGLE_HIDE] embedded 1, written_angle 3, bit_index 137 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:  17528, rd_minus:  15912, [ANGLE_HIDE] embedded 1, written_angle 3, bit_index 138 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   8102, rd_minus:   9556, [ANGLE_HIDE] embedded 1, written_angle 5, bit_index 139 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   3020, rd_minus:     -1, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 140 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:  11038, rd_minus:  13306, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 141 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   1728, rd_minus:   1510, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 142 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   7090, rd_minus:   9748, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 143 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:  12930, rd_minus:  13060, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 144 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:  12880, rd_minus:  16320, [ANGLE_HIDE] embedded 1, written_angle 3, bit_index 145 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:  18624, rd_minus:  16362, [ANGLE_HIDE] embedded 1, written_angle 3, bit_index 146 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   3032, rd_minus:   3098, [ANGLE_HIDE] embedded 1, written_angle 3, bit_index 147 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   6992, rd_minus:   7350, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 148 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   7228, rd_minus:   6252, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 149 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:  16938, rd_minus:  18676, [ANGLE_HIDE] embedded 1, written_angle 5, bit_index 150 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:  12836, rd_minus:  13358, [ANGLE_HIDE] embedded 1, written_angle 5, bit_index 151 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:    740, rd_minus:    768, [ANGLE_HIDE] embedded 1, written_angle 5, bit_index 152 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:    194, rd_minus:    176, [ANGLE_HIDE] embedded 1, written_angle 1, bit_index 153 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:     -1, rd_minus:   3802, [ANGLE_HIDE] embedded 1, written_angle 5, bit_index 154 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   5176, rd_minus:   4292, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 155 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:    824, rd_minus:    942, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 156 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   3780, rd_minus:   3848, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 157 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:     -1, rd_minus:  18560, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 158 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   3708, rd_minus:   2776, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 159 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   5300, rd_minus:   5300, [ANGLE_HIDE] embedded 1, written_angle 3, bit_index 160 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   1788, rd_minus:   1718, [ANGLE_HIDE] embedded 1, written_angle 3, bit_index 161 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   3526, rd_minus:   3526, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 162 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   4788, rd_minus:   4778, [ANGLE_HIDE] embedded 1, written_angle 5, bit_index 163 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:     -1, rd_minus:    804, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 164 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   3946, rd_minus:   5338, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 165 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   2270, rd_minus:   2196, [ANGLE_HIDE] embedded 1, written_angle 3, bit_index 166 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   2958, rd_minus:   4440, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 167 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:     -1, rd_minus:   4396, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 168 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   4928, rd_minus:   4146, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 169 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   3820, rd_minus:     -1, [ANGLE_HIDE] embedded 1, written_angle 1, bit_index 170 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   2778, rd_minus:   2840, [ANGLE_HIDE] embedded 1, written_angle 5, bit_index 171 / 83886104, payload_bits 83886080, end_bits 24
