Using AOMedia Project AV1 Encoder v3.11.0
[HIDE] rd_plus:  10442, rd_minus:   6220, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 1 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:   2592, rd_minus:   1872, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 17 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:   2400, rd_minus:   2258, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 18 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:   8318, rd_minus:   9540, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 19 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:   4448, rd_minus:     -1, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 20 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:   4350, rd_minus:   4900, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 21 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:   3612, rd_minus:   4364, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 22 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:   2998, rd_minus:   4970, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 23 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:   8602, rd_minus:   9400, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 24 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:   4642, rd_minus:   5076, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 25 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:  18588, rd_minus:     -1, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 26 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:    754, rd_minus:    706, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 27 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:   2538, rd_minus:   2724, [ANGLE_HIDE] embedded 1, written_angle 3, bit_index 28 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:  15432, rd_minus:  16652, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 29 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:   2462, rd_minus:   2642, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 30 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:   3068, rd_minus:   4094, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 31 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:     -1, rd_minus:   5588, [ANGLE_HIDE] embedded 1, written_angle 5, bit_index 32 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:   2588, rd_minus:   3194, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 33 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:   3234, rd_minus:   3012, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 34 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:  11206, rd_minus:  11086, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 35 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:   5868, rd_minus:   5690, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 36 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:  14316, rd_minus:  16854, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 37 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:     -1, rd_minus:   2668, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 38 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:  15586, rd_minus:  16986, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 39 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:     -1, rd_minus:    174, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 40 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:  19300, rd_minus:  20124, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 41 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:  18170, rd_minus:  18156, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 42 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:    632, rd_minus:     -1, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 43 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:     -1, rd_minus:   2248, [ANGLE_HIDE] embedded 1, written_angle 5, bit_index 44 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:  21256, rd_minus:  21256, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 45 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:   8340, rd_minus:     -1, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 46 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:   2654, rd_minus:   3164, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 47 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:   3400, rd_minus:   3448, [ANGLE_HIDE] embedded 1, written_angle 3, bit_index 48 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:   1010, rd_minus:   1036, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 49 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:   4224, rd_minus:   4210, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 50 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:  17334, rd_minus:  17068, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 51 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:    776, rd_minus:    556, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 52 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:   2078, rd_minus:   2248, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 53 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:   7332, rd_minus:   5840, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 54 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:  29956, rd_minus:  28962, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 55 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:   8048, rd_minus:   8930, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 56 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:   3794, rd_minus:   2742, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 57 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:   9078, rd_minus:   8904, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 58 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:   6056, rd_minus:     -1, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 59 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:    892, rd_minus:    792, [ANGLE_HIDE] embedded 1, written_angle 3, bit_index 60 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:   1302, rd_minus:   1374, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 61 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:   2606, rd_minus:   2668, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 62 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:   3088, rd_minus:   2790, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 63 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:   5894, rd_minus:   5438, [ANGLE_HIDE] embedded 1, written_angle 3, bit_index 64 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:   2344, rd_minus:   2676, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 65 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:     -1, rd_minus:  13918, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 66 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:    524, rd_minus:    656, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 67 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:   4732, rd_minus:   2744, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 68 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:   3238, rd_minus:   3464, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 69 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:   2558, rd_minus:   5004, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 70 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:  14558, rd_minus:   9384, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 71 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:    466, rd_minus:    410, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 72 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:   1274, rd_minus:   1022, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 73 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:   1188, rd_minus:    720, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 74 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:   1908, rd_minus:     -1, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 75 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:  11822, rd_minus:     -1, [ANGLE_HIDE] embedded 1, written_angle 1, bit_index 76 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:     86, rd_minus:     98, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 77 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:   1916, rd_minus:   1638, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 78 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:   3738, rd_minus:   2072, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 79 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:     -1, rd_minus:    832, [ANGLE_HIDE] embedded 1, written_angle 5, bit_index 80 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:   2652, rd_minus:   2698, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 81 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:   1128, rd_minus:   1128, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 82 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:    680, rd_minus:     -1, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 83 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:   1246, rd_minus:     -1, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 84 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:   8354, rd_minus:   3920, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 85 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:   7158, rd_minus:  10126, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 86 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:   8074, rd_minus:   8100, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 87 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:   8388, rd_minus:     -1, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 88 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:   9482, rd_minus:   9212, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 89 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:    404, rd_minus:     82, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 90 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:    506, rd_minus:    312, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 91 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:     84, rd_minus:     84, [ANGLE_HIDE] embedded 1, written_angle 3, bit_index 92 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:   1038, rd_minus:    546, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 93 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:     72, rd_minus:     74, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 94 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:  14522, rd_minus:   9676, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 95 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:    142, rd_minus:    116, [ANGLE_HIDE] embedded 1, written_angle 1, bit_index 96 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:    276, rd_minus:    276, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 97 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:     62, rd_minus:     -1, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 98 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:    340, rd_minus:    728, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 99 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:  11840, rd_minus:   5072, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 100 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:  21348, rd_minus:  19406, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 101 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:    658, rd_minus:   1272, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 102 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:     -1, rd_minus:   2672, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 103 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:   5210, rd_minus:   8030, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 104 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:   3482, rd_minus:   3226, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 105 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:  14198, rd_minus:  17218, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 106 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:   7852, rd_minus:   8260, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 107 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:   5416, rd_minus:   5578, [ANGLE_HIDE] embedded 1, written_angle 3, bit_index 108 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:   7680, rd_minus:   7504, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 109 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:   4892, rd_minus:   4466, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 110 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:  16322, rd_minus:  16200, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 111 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:   4008, rd_minus:   4668, [ANGLE_HIDE] embedded 1, written_angle 1, bit_index 112 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:   5812, rd_minus:   3712, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 113 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:   2096, rd_minus:   2110, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 114 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:     -1, rd_minus:   9312, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 115 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:  14116, rd_minus:  13712, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 116 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:   5172, rd_minus:   5142, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 117 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:   5136, rd_minus:   5168, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 118 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:   8040, rd_minus:   9626, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 119 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:   3314, rd_minus:   3248, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 120 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:  13268, rd_minus:  13570, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 121 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:   2908, rd_minus:   2908, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 122 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:   3700, rd_minus:     -1, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 123 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:  23294, rd_minus:  21768, [ANGLE_HIDE] embedded 1, written_angle 3, bit_index 124 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:   3728, rd_minus:   3612, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 125 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:     -1, rd_minus:    156, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 126 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:  11976, rd_minus:  11400, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 127 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:  15858, rd_minus:  17056, [ANGLE_HIDE] embedded 1, written_angle 5, bit_index 128 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:    620, rd_minus:     -1, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 129 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:   1512, rd_minus:   1728, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 130 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:  27416, rd_minus:  24292, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 131 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:   9774, rd_minus:   9578, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 132 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:   3838, rd_minus:   4294, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 133 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:   5950, rd_minus:   5952, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 134 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:  20410, rd_minus:  18510, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 135 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:  29060, rd_minus:  25580, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 136 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:   1618, rd_minus:   1454, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 137 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:   3250, rd_minus:   3860, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 138 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:     -1, rd_minus:   4284, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 139 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:   7340, rd_minus:   7340, [ANGLE_HIDE] embedded 1, written_angle 3, bit_index 140 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:     -1, rd_minus:   3106, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 141 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:   5956, rd_minus:   5320, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 142 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:   1816, rd_minus:   2016, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 143 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:   7924, rd_minus:  10710, [ANGLE_HIDE] embedded 1, written_angle 3, bit_index 144 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:    384, rd_minus:    578, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 145 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:   4604, rd_minus:   4802, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 146 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:     -1, rd_minus:   1646, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 147 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:   3010, rd_minus:   3340, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 148 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:   1072, rd_minus:   1496, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 149 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:   5938, rd_minus:   3916, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 150 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:    126, rd_minus:    132, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 151 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:   1432, rd_minus:   1740, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 152 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:   2108, rd_minus:   2344, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 153 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:   2502, rd_minus:   2000, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 154 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:   1760, rd_minus:   1120, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 155 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:   1964, rd_minus:     -1, [ANGLE_HIDE] embedded 1, written_angle 1, bit_index 156 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:   2238, rd_minus:   2216, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 157 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:   2418, rd_minus:     -1, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 158 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:    876, rd_minus:    630, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 159 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:     78, rd_minus:     78, [ANGLE_HIDE] embedded 1, written_angle 3, bit_index 160 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:   2482, rd_minus:     -1, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 161 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:   4232, rd_minus:   4226, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 162 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:   9732, rd_minus:  10584, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 163 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:   1368, rd_minus:   1904, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 164 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:   3166, rd_minus:   2884, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 165 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:  18334, rd_minus:  19476, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 166 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:   2504, rd_minus:   2710, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 167 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:   2930, rd_minus:   2898, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 168 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:   2482, rd_minus:     -1, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 169 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:   1388, rd_minus:   1286, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 170 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:   1100, rd_minus:     -1, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 171 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:     -1, rd_minus:   4804, [ANGLE_HIDE] embedded 1, written_angle 5, bit_index 172 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:   1044, rd_minus:   1040, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 173 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:   1144, rd_minus:   1628, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 174 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:   2936, rd_minus:   4606, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 175 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:  10160, rd_minus:  10492, [ANGLE_HIDE] embedded 1, written_angle 3, bit_index 176 / 8216, payload_bits 8192, end_bits 24
