Using AOMedia Project AV1 Decoder v3.11.0
[ANGLE_READ] sym 0, injected 0, total_bits 1, payload_bits 1, keyword_buffer 000000, end_found 0
[ANGLE_READ] sym 2, injected 0, total_bits 55, payload_bits 55, keyword_buffer 800880, end_found 0
[ANGLE_READ] sym 2, injected 0, total_bits 56, payload_bits 56, keyword_buffer 001100, end_found 0
[ANGLE_READ] sym 2, injected 0, total_bits 57, payload_bits 57, keyword_buffer 002200, end_found 0
[ANGLE_READ] sym 2, injected 0, total_bits 58, payload_bits 58, keyword_buffer 004400, end_found 0
[ANGLE_READ] sym 2, injected 0, total_bits 59, payload_bits 59, keyword_buffer 008800, end_found 0
[ANGLE_READ] sym 3, injected 1, total_bits 60, payload_bits 60, keyword_buffer 011001, end_found 0
[ANGLE_READ] sym 4, injected 0, total_bits 61, payload_bits 61, keyword_buffer 022002, end_found 0
[ANGLE_READ] sym 4, injected 0, total_bits 62, payload_bits 62, keyword_buffer 044004, end_found 0
[ANGLE_READ] sym 6, injected 0, total_bits 63, payload_bits 63, keyword_buffer 088008, end_found 0
[ANGLE_READ] sym 1, injected 1, total_bits 64, payload_bits 64, keyword_buffer 110011, end_found 0
[ANGLE_READ] sym 6, injected 0, total_bits 65, payload_bits 65, keyword_buffer 220022, end_found 0
[ANGLE_READ] sym 0, injected 0, total_bits 66, payload_bits 66, keyword_buffer 440044, end_found 0
[ANGLE_READ] sym 2, injected 0, total_bits 67, payload_bits 67, keyword_buffer 880088, end_found 0
[ANGLE_READ] sym 6, injected 0, total_bits 68, payload_bits 68, keyword_buffer 100110, end_found 0
[ANGLE_READ] sym 6, injected 0, total_bits 69, payload_bits 69, keyword_buffer 200220, end_found 0
[ANGLE_READ] sym 2, injected 0, total_bits 70, payload_bits 70, keyword_buffer 400440, end_found 0
[ANGLE_READ] sym 6, injected 0, total_bits 71, payload_bits 71, keyword_buffer 800880, end_found 0
[ANGLE_READ] sym 4, injected 0, total_bits 72, payload_bits 72, keyword_buffer 001100, end_found 0
[ANGLE_READ] sym 0, injected 0, total_bits 73, payload_bits 73, keyword_buffer 002200, end_found 0
[ANGLE_READ] sym 4, injected 0, total_bits 74, payload_bits 74, keyword_buffer 004400, end_found 0
[ANGLE_READ] sym 2, injected 0, total_bits 75, payload_bits 75, keyword_buffer 008800, end_found 0
[ANGLE_READ] sym 3, injected 1, total_bits 76, payload_bits 76, keyword_buffer 011001, end_found 0
[ANGLE_READ] sym 0, injected 0, total_bits 77, payload_bits 77, keyword_buffer 022002, end_found 0
[ANGLE_READ] sym 2, injected 0, total_bits 78, payload_bits 78, keyword_buffer 044004, end_found 0
[ANGLE_READ] sym 6, injected 0, total_bits 79, payload_bits 79, keyword_buffer 088008, end_found 0
[ANGLE_READ] sym 3, injected 1, total_bits 80, payload_bits 80, keyword_buffer 110011, end_found 0
[ANGLE_READ] sym 4, injected 0, total_bits 81, payload_bits 81, keyword_buffer 220022, end_found 0
[ANGLE_READ] sym 6, injected 0, total_bits 82, payload_bits 82, keyword_buffer 440044, end_found 0
[ANGLE_READ] sym 2, injected 0, total_bits 83, payload_bits 83, keyword_buffer 880088, end_found 0
[ANGLE_READ] sym 2, injected 0, total_bits 84, payload_bits 84, keyword_buffer 100110, end_found 0
[ANGLE_READ] sym 2, injected 0, total_bits 85, payload_bits 85, keyword_buffer 200220, end_found 0
[ANGLE_READ] sym 4, injected 0, total_bits 86, payload_bits 86, keyword_buffer 400440, end_found 0
[ANGLE_READ] sym 6, injected 0, total_bits 87, payload_bits 87, keyword_buffer 800880, end_found 0
[ANGLE_READ] sym 2, injected 0, total_bits 88, payload_bits 88, keyword_buffer 001100, end_found 0
[ANGLE_READ] sym 2, injected 0, total_bits 89, payload_bits 89, keyword_buffer 002200, end_found 0
[ANGLE_READ] sym 6, injected 0, total_bits 90, payload_bits 90, keyword_buffer 004400, end_found 0
[ANGLE_READ] sym 4, injected 0, total_bits 91, payload_bits 91, keyword_buffer 008800, end_found 0
[ANGLE_READ] sym 5, injected 1, total_bits 92, payload_bits 92, keyword_buffer 011001, end_found 0
[ANGLE_READ] sym 4, injected 0, total_bits 93, payload_bits 93, keyword_buffer 022002, end_found 0
[ANGLE_READ] sym 4, injected 0, total_bits 94, payload_bits 94, keyword_buffer 044004, end_found 0
[ANGLE_READ] sym 2, injected 0, total_bits 95, payload_bits 95, keyword_buffer 088008, end_found 0
[ANGLE_READ] sym 1, injected 1, total_bits 96, payload_bits 96, keyword_buffer 110011, end_found 0
[ANGLE_READ] sym 0, injected 0, total_bits 97, payload_bits 97, keyword_buffer 220022, end_found 0
[ANGLE_READ] sym 2, injected 0, total_bits 98, payload_bits 98, keyword_buffer 440044, end_found 0
[ANGLE_READ] sym 6, injected 0, total_bits 99, payload_bits 99, keyword_buffer 880088, end_found 0
[ANGLE_READ] sym 2, injected 0, total_bits 100, payload_bits 100, keyword_buffer 100110, end_found 0
[ANGLE_READ] sym 0, injected 0, total_bits 101, payload_bits 101, keyword_buffer 200220, end_found 0
[ANGLE_READ] sym 2, injected 0, total_bits 102, payload_bits 102, keyword_buffer 400440, end_found 0
[ANGLE_READ] sym 6, injected 0, total_bits 103, payload_bits 103, keyword_buffer 800880, end_found 0
[ANGLE_READ] sym 4, injected 0, total_bits 104, payload_bits 104, keyword_buffer 001100, end_found 0
[ANGLE_READ] sym 4, injected 0, total_bits 105, payload_bits 105, keyword_buffer 002200, end_found 0
[ANGLE_READ] sym 4, injected 0, total_bits 106, payload_bits 106, keyword_buffer 004400, end_found 0
[ANGLE_READ] sym 4, injected 0, total_bits 107, payload_bits 107, keyword_buffer 008800, end_found 0
[ANGLE_READ] sym 5, injected 1, total_bits 108, payload_bits 108, keyword_buffer 011001, end_found 0
[ANGLE_READ] sym 4, injected 0, total_bits 109, payload_bits 109, keyword_buffer 022002, end_found 0
[ANGLE_READ] sym 4, injected 0, total_bits 110, payload_bits 110, keyword_buffer 044004, end_found 0
[ANGLE_READ] sym 4, injected 0, total_bits 111, payload_bits 111, keyword_buffer 088008, end_found 0
[ANGLE_READ] sym 3, injected 1, total_bits 112, payload_bits 112, keyword_buffer 110011, end_found 0
[ANGLE_READ] sym 6, injected 0, total_bits 113, payload_bits 113, keyword_buffer 220022, end_found 0
[ANGLE_READ] sym 4, injected 0, total_bits 114, payload_bits 114, keyword_buffer 440044, end_found 0
[ANGLE_READ] sym 4, injected 0, total_bits 115, payload_bits 115, keyword_buffer 880088, end_found 0
[ANGLE_READ] sym 4, injected 0, total_bits 116, payload_bits 116, keyword_buffer 100110, end_found 0
[ANGLE_READ] sym 4, injected 0, total_bits 117, payload_bits 117, keyword_buffer 200220, end_found 0
[ANGLE_READ] sym 4, injected 0, total_bits 118, payload_bits 118, keyword_buffer 400440, end_found 0
[ANGLE_READ] sym 4, injected 0, total_bits 119, payload_bits 119, keyword_buffer 800880, end_found 0
[ANGLE_READ] sym 4, injected 0, total_bits 120, payload_bits 120, keyword_buffer 001100, end_found 0
[ANGLE_READ] sym 4, injected 0, total_bits 121, payload_bits 121, keyword_buffer 002200, end_found 0
[ANGLE_READ] sym 6, injected 0, total_bits 122, payload_bits 122, keyword_buffer 004400, end_found 0
[ANGLE_READ] sym 6, injected 0, total_bits 123, payload_bits 123, keyword_buffer 008800, end_found 0
[ANGLE_READ] sym 5, injected 1, total_bits 124, payload_bits 124, keyword_buffer 011001, end_found 0
[ANGLE_READ] sym 0, injected 0, total_bits 125, payload_bits 125, keyword_buffer 022002, end_found 0
[ANGLE_READ] sym 2, injected 0, total_bits 126, payload_bits 126, keyword_buffer 044004, end_found 0
[ANGLE_READ] sym 6, injected 0, total_bits 127, payload_bits 127, keyword_buffer 088008, end_found 0
[ANGLE_READ] sym 3, injected 1, total_bits 128, payload_bits 128, keyword_buffer 110011, end_found 0
[ANGLE_READ] sym 6, injected 0, total_bits 129, payload_bits 129, keyword_buffer 220022, end_found 0
[ANGLE_READ] sym 2, injected 0, total_bits 130, payload_bits 130, keyword_buffer 440044, end_found 0
[ANGLE_READ] sym 0, injected 0, total_bits 131, payload_bits 131, keyword_buffer 880088, end_found 0
[ANGLE_READ] sym 2, injected 0, total_bits 132, payload_bits 132, keyword_buffer 100110, end_found 0
[ANGLE_READ] sym 0, injected 0, total_bits 133, payload_bits 133, keyword_buffer 200220, end_found 0
[ANGLE_READ] sym 4, injected 0, total_bits 134, payload_bits 134, keyword_buffer 400440, end_found 0
[ANGLE_READ] sym 2, injected 0, total_bits 135, payload_bits 135, keyword_buffer 800880, end_found 0
[ANGLE_READ] sym 4, injected 0, total_bits 136, payload_bits 136, keyword_buffer 001100, end_found 0
[ANGLE_READ] sym 4, injected 0, total_bits 137, payload_bits 137, keyword_buffer 002200, end_found 0
[ANGLE_READ] sym 0, injected 0, total_bits 138, payload_bits 138, keyword_buffer 004400, end_found 0
[ANGLE_READ] sym 2, injected 0, total_bits 139, payload_bits 139, keyword_buffer 008800, end_found 0
[ANGLE_READ] sym 3, injected 1, total_bits 140, payload_bits 140, keyword_buffer 011001, end_found 0
[ANGLE_READ] sym 6, injected 0, total_bits 141, payload_bits 141, keyword_buffer 022002, end_found 0
[ANGLE_READ] sym 2, injected 0, total_bits 142, payload_bits 142, keyword_buffer 044004, end_found 0
[ANGLE_READ] sym 4, injected 0, total_bits 143, payload_bits 143, keyword_buffer 088008, end_found 0
[ANGLE_READ] sym 1, injected 1, total_bits 144, payload_bits 144, keyword_buffer 110011, end_found 0
[ANGLE_READ] sym 0, injected 0, total_bits 145, payload_bits 145, keyword_buffer 220022, end_found 0
[ANGLE_READ] sym 2, injected 0, total_bits 146, payload_bits 146, keyword_buffer 440044, end_found 0
[ANGLE_READ] sym 2, injected 0, total_bits 147, payload_bits 147, keyword_buffer 880088, end_found 0
[ANGLE_READ] sym 0, injected 0, total_bits 148, payload_bits 148, keyword_buffer 100110, end_found 0
[ANGLE_READ] sym 4, injected 0, total_bits 149, payload_bits 149, keyword_buffer 200220, end_found 0
[ANGLE_READ] sym 2, injected 0, total_bits 150, payload_bits 150, keyword_buffer 400440, end_found 0
[ANGLE_READ] sym 0, injected 0, total_bits 151, payload_bits 151, keyword_buffer 800880, end_found 0
[ANGLE_READ] sym 2, injected 0, total_bits 152, payload_bits 152, keyword_buffer 001100, end_found 0
[ANGLE_READ] sym 0, injected 0, total_bits 153, payload_bits 153, keyword_buffer 002200, end_found 0
[ANGLE_READ] sym 2, injected 0, total_bits 154, payload_bits 154, keyword_buffer 004400, end_found 0
[ANGLE_READ] sym 4, injected 0, total_bits 155, payload_bits 155, keyword_buffer 008800, end_found 0
[ANGLE_READ] sym 1, injected 1, total_bits 156, payload_bits 156, keyword_buffer 011001, end_found 0
[ANGLE_READ] sym 6, injected 0, total_bits 157, payload_bits 157, keyword_buffer 022002, end_found 0
[ANGLE_READ] sym 2, injected 0, total_bits 158, payload_bits 158, keyword_buffer 044004, end_found 0
[ANGLE_READ] sym 6, injected 0, total_bits 159, payload_bits 159, keyword_buffer 088008, end_found 0
[ANGLE_READ] sym 3, injected 1, total_bits 160, payload_bits 160, keyword_buffer 110011, end_found 0
[ANGLE_READ] sym 2, injected 0, total_bits 161, payload_bits 161, keyword_buffer 220022, end_found 0
[ANGLE_READ] sym 6, injected 0, total_bits 162, payload_bits 162, keyword_buffer 440044, end_found 0
[ANGLE_READ] sym 4, injected 0, total_bits 163, payload_bits 163, keyword_buffer 880088, end_found 0
[ANGLE_READ] sym 6, injected 0, total_bits 164, payload_bits 164, keyword_buffer 100110, end_found 0
[ANGLE_READ] sym 2, injected 0, total_bits 165, payload_bits 165, keyword_buffer 200220, end_found 0
[ANGLE_READ] sym 0, injected 0, total_bits 166, payload_bits 166, keyword_buffer 400440, end_found 0
[ANGLE_READ] sym 4, injected 0, total_bits 167, payload_bits 167, keyword_buffer 800880, end_found 0
[ANGLE_READ] sym 2, injected 0, total_bits 168, payload_bits 168, keyword_buffer 001100, end_found 0
[ANGLE_READ] sym 6, injected 0, total_bits 169, payload_bits 169, keyword_buffer 002200, end_found 0
[ANGLE_READ] sym 2, injected 0, total_bits 170, payload_bits 170, keyword_buffer 004400, end_found 0
[ANGLE_READ] sym 0, injected 0, total_bits 171, payload_bits 171, keyword_buffer 008800, end_found 0
[ANGLE_READ] sym 1, injected 1, total_bits 172, payload_bits 172, keyword_buffer 011001, end_found 0
[ANGLE_READ] sym 2, injected 0, total_bits 173, payload_bits 173, keyword_buffer 022002, end_found 0
[ANGLE_READ] sym 2, injected 0, total_bits 174, payload_bits 174, keyword_buffer 044004, end_found 0
[ANGLE_READ] sym 4, injected 0, total_bits 175, payload_bits 175, keyword_buffer 088008, end_found 0
[ANGLE_READ] sym 3, injected 1, total_bits 176, payload_bits 176, keyword_buffer 110011, end_found 0
[ANGLE_READ] sym 6, injected 0, total_bits 177, payload_bits 177, keyword_buffer 220022, end_found 0
[ANGLE_READ] sym 6, injected 0, total_bits 178, payload_bits 178, keyword_buffer 440044, end_found 0
[ANGLE_READ] sym 6, injected 0, total_bits 179, payload_bits 179, keyword_buffer 880088, end_found 0
[ANGLE_READ] sym 0, injected 0, total_bits 180, payload_bits 180, keyword_buffer 100110, end_found 0
[ANGLE_READ] sym 2, injected 0, total_bits 181, payload_bits 181, keyword_buffer 200220, end_found 0
[ANGLE_READ] sym 2, injected 0, total_bits 182, payload_bits 182, keyword_buffer 400440, end_found 0
[ANGLE_READ] sym 4, injected 0, total_bits 183, payload_bits 183, keyword_buffer 800880, end_found 0
[ANGLE_READ] sym 4, injected 0, total_bits 184, payload_bits 184, keyword_buffer 001100, end_found 0
[ANGLE_READ] sym 2, injected 0, total_bits 185, payload_bits 185, keyword_buffer 002200, end_found 0
[ANGLE_READ] sym 6, injected 0, total_bits 186, payload_bits 186, keyword_buffer 004400, end_found 0
[ANGLE_READ] sym 2, injected 0, total_bits 187, payload_bits 187, keyword_buffer 008800, end_found 0
[ANGLE_READ] sym 1, injected 1, total_bits 188, payload_bits 188, keyword_buffer 011001, end_found 0
[ANGLE_READ] sym 2, injected 0, total_bits 189, payload_bits 189, keyword_buffer 022002, end_found 0
[ANGLE_READ] sym 2, injected 0, total_bits 190, payload_bits 190, keyword_buffer 044004, end_found 0
[ANGLE_READ] sym 0, injected 0, total_bits 191, payload_bits 191, keyword_buffer 088008, end_found 0
[ANGLE_READ] sym 1, injected 1, total_bits 192, payload_bits 192, keyword_buffer 110011, end_found 0
[ANGLE_READ] sym 2, injected 0, total_bits 193, payload_bits 193, keyword_buffer 220022, end_found 0
[ANGLE_READ] sym 4, injected 0, total_bits 194, payload_bits 194, keyword_buffer 440044, end_found 0
[ANGLE_READ] sym 6, injected 0, total_bits 195, payload_bits 195, keyword_buffer 880088, end_found 0
[ANGLE_READ] sym 0, injected 0, total_bits 196, payload_bits 196, keyword_buffer 100110, end_found 0
[ANGLE_READ] sym 0, injected 0, total_bits 197, payload_bits 197, keyword_buffer 200220, end_found 0
[ANGLE_READ] sym 0, injected 0, total_bits 198, payload_bits 198, keyword_buffer 400440, end_found 0
[ANGLE_READ] sym 0, injected 0, total_bits 199, payload_bits 199, keyword_buffer 800880, end_found 0
[ANGLE_READ] sym 4, injected 0, total_bits 200, payload_bits 200, keyword_buffer 001100, end_found 0
[ANGLE_READ] sym 2, injected 0, total_bits 201, payload_bits 201, keyword_buffer 002200, end_found 0
[ANGLE_READ] sym 0, injected 0, total_bits 202, payload_bits 202, keyword_buffer 004400, end_found 0
[ANGLE_READ] sym 2, injected 0, total_bits 203, payload_bits 203, keyword_buffer 008800, end_found 0
[ANGLE_READ] sym 5, injected 1, total_bits 204, payload_bits 204, keyword_buffer 011001, end_found 0
[ANGLE_READ] sym 4, injected 0, total_bits 205, payload_bits 205, keyword_buffer 022002, end_found 0
[ANGLE_READ] sym 4, injected 0, total_bits 206, payload_bits 206, keyword_buffer 044004, end_found 0
[ANGLE_READ] sym 0, injected 0, total_bits 207, payload_bits 207, keyword_buffer 088008, end_found 0
[ANGLE_READ] sym 1, injected 1, total_bits 208, payload_bits 208, keyword_buffer 110011, end_found 0
[ANGLE_READ] sym 0, injected 0, total_bits 209, payload_bits 209, keyword_buffer 220022, end_found 0
[ANGLE_READ] sym 0, injected 0, total_bits 210, payload_bits 210, keyword_buffer 440044, end_found 0
[ANGLE_READ] sym 4, injected 0, total_bits 211, payload_bits 211, keyword_buffer 880088, end_found 0
[ANGLE_READ] sym 0, injected 0, total_bits 212, payload_bits 212, keyword_buffer 100110, end_found 0
[ANGLE_READ] sym 6, injected 0, total_bits 213, payload_bits 213, keyword_buffer 200220, end_found 0
[ANGLE_READ] sym 6, injected 0, total_bits 214, payload_bits 214, keyword_buffer 400440, end_found 0
[ANGLE_READ] sym 2, injected 0, total_bits 215, payload_bits 215, keyword_buffer 800880, end_found 0
[ANGLE_READ] sym 4, injected 0, total_bits 216, payload_bits 216, keyword_buffer 001100, end_found 0
[ANGLE_READ] sym 4, injected 0, total_bits 217, payload_bits 217, keyword_buffer 002200, end_found 0
[ANGLE_READ] sym 2, injected 0, total_bits 218, payload_bits 218, keyword_buffer 004400, end_found 0
[ANGLE_READ] sym 0, injected 0, total_bits 219, payload_bits 219, keyword_buffer 008800, end_found 0
[ANGLE_READ] sym 5, injected 1, total_bits 220, payload_bits 220, keyword_buffer 011001, end_found 0
[ANGLE_READ] sym 4, injected 0, total_bits 221, payload_bits 221, keyword_buffer 022002, end_found 0
[ANGLE_READ] sym 4, injected 0, total_bits 222, payload_bits 222, keyword_buffer 044004, end_found 0
[ANGLE_READ] sym 2, injected 0, total_bits 223, payload_bits 223, keyword_buffer 088008, end_found 0
[ANGLE_READ] sym 3, injected 1, total_bits 224, payload_bits 224, keyword_buffer 110011, end_found 0
[ANGLE_READ] sym 4, injected 0, total_bits 225, payload_bits 225, keyword_buffer 220022, end_found 0
[ANGLE_READ] sym 4, injected 0, total_bits 226, payload_bits 226, keyword_buffer 440044, end_found 0
[ANGLE_READ] sym 0, injected 0, total_bits 227, payload_bits 227, keyword_buffer 880088, end_found 0
[ANGLE_READ] sym 2, injected 0, total_bits 228, payload_bits 228, keyword_buffer 100110, end_found 0
[ANGLE_READ] sym 2, injected 0, total_bits 229, payload_bits 229, keyword_buffer 200220, end_found 0
[ANGLE_READ] sym 4, injected 0, total_bits 230, payload_bits 230, keyword_buffer 400440, end_found 0
[ANGLE_READ] sym 4, injected 0, total_bits 231, payload_bits 231, keyword_buffer 800880, end_found 0
[ANGLE_READ] sym 0, injected 0, total_bits 232, payload_bits 232, keyword_buffer 001100, end_found 0
[ANGLE_READ] sym 4, injected 0, total_bits 233, payload_bits 233, keyword_buffer 002200, end_found 0
[ANGLE_READ] sym 4, injected 0, total_bits 234, payload_bits 234, keyword_buffer 004400, end_found 0
[ANGLE_READ] sym 0, injected 0, total_bits 235, payload_bits 235, keyword_buffer 008800, end_found 0
[ANGLE_READ] sym 3, injected 1, total_bits 236, payload_bits 236, keyword_buffer 011001, end_found 0
[ANGLE_READ] sym 2, injected 0, total_bits 237, payload_bits 237, keyword_buffer 022002, end_found 0
[ANGLE_READ] sym 0, injected 0, total_bits 238, payload_bits 238, keyword_buffer 044004, end_found 0
[ANGLE_READ] sym 6, injected 0, total_bits 239, payload_bits 239, keyword_buffer 088008, end_found 0
[ANGLE_READ] sym 3, injected 1, total_bits 240, payload_bits 240, keyword_buffer 110011, end_found 0
[ANGLE_READ] sym 2, injected 0, total_bits 241, payload_bits 241, keyword_buffer 220022, end_found 0
[ANGLE_READ] sym 2, injected 0, total_bits 242, payload_bits 242, keyword_buffer 440044, end_found 0
[ANGLE_READ] sym 2, injected 0, total_bits 243, payload_bits 243, keyword_buffer 880088, end_found 0
[ANGLE_READ] sym 4, injected 0, total_bits 244, payload_bits 244, keyword_buffer 100110, end_found 0
[ANGLE_READ] sym 4, injected 0, total_bits 245, payload_bits 245, keyword_buffer 200220, end_found 0
[ANGLE_READ] sym 4, injected 0, total_bits 246, payload_bits 246, keyword_buffer 400440, end_found 0
[ANGLE_READ] sym 4, injected 0, total_bits 247, payload_bits 247, keyword_buffer 800880, end_found 0
[ANGLE_READ] sym 4, injected 0, total_bits 248, payload_bits 248, keyword_buffer 001100, end_found 0
[ANGLE_READ] sym 2, injected 0, total_bits 249, payload_bits 249, keyword_buffer 002200, end_found 0
[ANGLE_READ] sym 6, injected 0, total_bits 250, payload_bits 250, keyword_buffer 004400, end_found 0
[ANGLE_READ] sym 4, injected 0, total_bits 251, payload_bits 251, keyword_buffer 008800, end_found 0
[ANGLE_READ] sym 3, injected 1, total_bits 252, payload_bits 252, keyword_buffer 011001, end_found 0
[ANGLE_READ] sym 0, injected 0, total_bits 253, payload_bits 253, keyword_buffer 022002, end_found 0
[ANGLE_READ] sym 4, injected 0, total_bits 254, payload_bits 254, keyword_buffer 044004, end_found 0
[ANGLE_READ] sym 6, injected 0, total_bits 255, payload_bits 255, keyword_buffer 088008, end_found 0
[ANGLE_READ] sym 3, injected 1, total_bits 256, payload_bits 256, keyword_buffer 110011, end_found 0
[ANGLE_READ] sym 0, injected 0, total_bits 257, payload_bits 257, keyword_buffer 220022, end_found 0
[ANGLE_READ] sym 2, injected 0, total_bits 258, payload_bits 258, keyword_buffer 440044, end_found 0
[ANGLE_READ] sym 2, injected 0, total_bits 259, payload_bits 259, keyword_buffer 880088, end_found 0
[ANGLE_READ] sym 4, injected 0, total_bits 260, payload_bits 260, keyword_buffer 100110, end_found 0
[ANGLE_READ] sym 0, injected 0, total_bits 261, payload_bits 261, keyword_buffer 200220, end_found 0
[ANGLE_READ] sym 2, injected 0, total_bits 262, payload_bits 262, keyword_buffer 400440, end_found 0
[ANGLE_READ] sym 2, injected 0, total_bits 263, payload_bits 263, keyword_buffer 800880, end_found 0
[ANGLE_READ] sym 0, injected 0, total_bits 264, payload_bits 264, keyword_buffer 001100, end_found 0
[ANGLE_READ] sym 4, injected 0, total_bits 265, payload_bits 265, keyword_buffer 002200, end_found 0
[ANGLE_READ] sym 2, injected 0, total_bits 266, payload_bits 266, keyword_buffer 004400, end_found 0
[ANGLE_READ] sym 2, injected 0, total_bits 267, payload_bits 267, keyword_buffer 008800, end_found 0
