Using AOMedia Project AV1 Encoder v3.11.0
[HIDE] rd_plus:  10442, rd_minus:   6220, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 1 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:     -1, rd_minus:   2248, [ANGLE_HIDE] embedded 1, written_angle 5, bit_index 44 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:  21256, rd_minus:  21256, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 45 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   8340, rd_minus:     -1, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 46 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   2654, rd_minus:   3164, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 47 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   3400, rd_minus:   3448, [ANGLE_HIDE] embedded 1, written_angle 3, bit_index 48 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   1010, rd_minus:   1036, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 49 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   4224, rd_minus:   4210, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 50 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:  17334, rd_minus:  17068, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 51 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:    776, rd_minus:    556, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 52 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   2078, rd_minus:   2248, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 53 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   7332, rd_minus:   5840, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 54 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:  29956, rd_minus:  28962, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 55 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   8048, rd_minus:   8930, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 56 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   3794, rd_minus:   2742, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 57 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   9078, rd_minus:   8904, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 58 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   6056, rd_minus:     -1, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 59 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:    892, rd_minus:    792, [ANGLE_HIDE] embedded 1, written_angle 3, bit_index 60 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   1302, rd_minus:   1374, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 61 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   2606, rd_minus:   2668, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 62 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   3088, rd_minus:   2790, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 63 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   5894, rd_minus:   5438, [ANGLE_HIDE] embedded 1, written_angle 3, bit_index 64 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   2344, rd_minus:   2676, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 65 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:     -1, rd_minus:  13918, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 66 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:    524, rd_minus:    656, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 67 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   4732, rd_minus:   2744, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 68 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   3238, rd_minus:   3464, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 69 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   2558, rd_minus:   5004, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 70 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:  14558, rd_minus:   9384, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 71 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:    466, rd_minus:    410, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 72 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   1274, rd_minus:   1022, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 73 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   1188, rd_minus:    720, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 74 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   1908, rd_minus:     -1, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 75 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:  11822, rd_minus:     -1, [ANGLE_HIDE] embedded 1, written_angle 1, bit_index 76 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:     86, rd_minus:     98, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 77 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   1916, rd_minus:   1638, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 78 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   3738, rd_minus:   2072, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 79 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:     -1, rd_minus:    832, [ANGLE_HIDE] embedded 1, written_angle 5, bit_index 80 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   2652, rd_minus:   2698, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 81 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   1128, rd_minus:   1128, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 82 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:    680, rd_minus:     -1, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 83 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   1246, rd_minus:     -1, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 84 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   8354, rd_minus:   3920, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 85 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   7158, rd_minus:  10126, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 86 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   8074, rd_minus:   8100, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 87 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   8388, rd_minus:     -1, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 88 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   9482, rd_minus:   9212, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 89 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:    404, rd_minus:     82, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 90 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:    506, rd_minus:    312, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 91 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:     84, rd_minus:     84, [ANGLE_HIDE] embedded 1, written_angle 3, bit_index 92 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   1038, rd_minus:    546, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 93 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:     72, rd_minus:     74, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 94 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:  14522, rd_minus:   9676, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 95 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:    142, rd_minus:    116, [ANGLE_HIDE] embedded 1, written_angle 1, bit_index 96 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:    276, rd_minus:    276, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 97 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:     62, rd_minus:     -1, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 98 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:    340, rd_minus:    728, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 99 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:  11840, rd_minus:   5072, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 100 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:  21348, rd_minus:  19406, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 101 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:    658, rd_minus:   1272, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 102 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:     -1, rd_minus:   2672, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 103 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   5210, rd_minus:   8030, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 104 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   3482, rd_minus:   3226, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 105 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:  14198, rd_minus:  17218, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 106 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   7852, rd_minus:   8260, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 107 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   5416, rd_minus:   5578, [ANGLE_HIDE] embedded 1, written_angle 3, bit_index 108 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   7680, rd_minus:   7504, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 109 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   4892, rd_minus:   4466, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 110 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:  16322, rd_minus:  16200, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 111 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   4008, rd_minus:   4668, [ANGLE_HIDE] embedded 1, written_angle 1, bit_index 112 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   5812, rd_minus:   3712, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 113 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   2096, rd_minus:   2110, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 114 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:     -1, rd_minus:   9312, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 115 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:  14116, rd_minus:  13712, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 116 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   5172, rd_minus:   5142, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 117 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   5136, rd_minus:   5168, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 118 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   8040, rd_minus:   9626, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 119 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   3314, rd_minus:   3248, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 120 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:  13268, rd_minus:  13570, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 121 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   2908, rd_minus:   2908, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 122 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   3700, rd_minus:     -1, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 123 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:  23294, rd_minus:  21768, [ANGLE_HIDE] embedded 1, written_angle 3, bit_index 124 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   3728, rd_minus:   3612, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 125 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:     -1, rd_minus:    156, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 126 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:  11976, rd_minus:  11400, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 127 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:  15858, rd_minus:  17056, [ANGLE_HIDE] embedded 1, written_angle 5, bit_index 128 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:    620, rd_minus:     -1, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 129 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   1512, rd_minus:   1728, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 130 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:  27416, rd_minus:  24292, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 131 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   9774, rd_minus:   9578, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 132 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   3838, rd_minus:   4294, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 133 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   5950, rd_minus:   5952, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 134 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:  20410, rd_minus:  18510, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 135 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:  29060, rd_minus:  25580, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 136 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   1618, rd_minus:   1454, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 137 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   3250, rd_minus:   3860, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 138 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:     -1, rd_minus:   4284, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 139 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   7340, rd_minus:   7340, [ANGLE_HIDE] embedded 1, written_angle 3, bit_index 140 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:     -1, rd_minus:   3106, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 141 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   5956, rd_minus:   5320, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 142 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   1816, rd_minus:   2016, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 143 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   7924, rd_minus:  10710, [ANGLE_HIDE] embedded 1, written_angle 3, bit_index 144 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:    384, rd_minus:    578, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 145 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   4604, rd_minus:   4802, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 146 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:     -1, rd_minus:   1646, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 147 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   3010, rd_minus:   3340, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 148 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   1072, rd_minus:   1496, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 149 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   5938, rd_minus:   3916, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 150 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:    126, rd_minus:    132, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 151 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   1432, rd_minus:   1740, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 152 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   2108, rd_minus:   2344, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 153 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   2502, rd_minus:   2000, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 154 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   1760, rd_minus:   1120, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 155 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   1964, rd_minus:     -1, [ANGLE_HIDE] embedded 1, written_angle 1, bit_index 156 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   2238, rd_minus:   2216, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 157 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   2418, rd_minus:     -1, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 158 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:    876, rd_minus:    630, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 159 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:     78, rd_minus:     78, [ANGLE_HIDE] embedded 1, written_angle 3, bit_index 160 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   2482, rd_minus:     -1, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 161 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   4232, rd_minus:   4226, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 162 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   9732, rd_minus:  10584, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 163 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   1368, rd_minus:   1904, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 164 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   3166, rd_minus:   2884, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 165 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:  18334, rd_minus:  19476, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 166 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   2504, rd_minus:   2710, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 167 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   2930, rd_minus:   2898, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 168 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   2482, rd_minus:     -1, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 169 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   1388, rd_minus:   1286, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 170 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   1100, rd_minus:     -1, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 171 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:     -1, rd_minus:   4804, [ANGLE_HIDE] embedded 1, written_angle 5, bit_index 172 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   1044, rd_minus:   1040, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 173 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   1144, rd_minus:   1628, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 174 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   2936, rd_minus:   4606, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 175 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:  10160, rd_minus:  10492, [ANGLE_HIDE] embedded 1, written_angle 3, bit_index 176 / 2072, payload_bits 2048, end_bits 24
