Using AOMedia Project AV1 Encoder v3.11.0
[HIDE] rd_plus:   1292, rd_minus:   1362, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 1 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:    514, rd_minus:    388, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 71 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   2976, rd_minus:   3236, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 72 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:  13814, rd_minus:  13344, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 73 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   1506, rd_minus:   1436, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 74 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   1828, rd_minus:     -1, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 75 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   1674, rd_minus:   3298, [ANGLE_HIDE] embedded 1, written_angle 3, bit_index 76 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   4312, rd_minus:   3856, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 77 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   9628, rd_minus:   8292, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 78 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   7498, rd_minus:   6858, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 79 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:  12250, rd_minus:   9318, [ANGLE_HIDE] embedded 1, written_angle 3, bit_index 80 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   8952, rd_minus:   6826, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 81 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   1204, rd_minus:     -1, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 82 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   3680, rd_minus:   4000, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 83 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   3132, rd_minus:   3406, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 84 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   2104, rd_minus:   1918, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 85 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   5456, rd_minus:   5732, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 86 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   9198, rd_minus:  10904, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 87 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   3400, rd_minus:   3376, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 88 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:  16988, rd_minus:  18826, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 89 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:    776, rd_minus:    736, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 90 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   4516, rd_minus:   4552, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 91 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:  16068, rd_minus:  16048, [ANGLE_HIDE] embedded 1, written_angle 1, bit_index 92 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   3830, rd_minus:   3812, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 93 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   3702, rd_minus:   3686, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 94 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:     -1, rd_minus:  11146, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 95 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:  20364, rd_minus:  24466, [ANGLE_HIDE] embedded 1, written_angle 5, bit_index 96 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:    980, rd_minus:    916, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 97 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   1834, rd_minus:     -1, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 98 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   6986, rd_minus:     -1, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 99 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:    710, rd_minus:    914, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 100 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   3474, rd_minus:     -1, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 101 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   5096, rd_minus:   4368, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 102 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:  18678, rd_minus:  23750, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 103 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:     -1, rd_minus:   5636, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 104 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   3038, rd_minus:     -1, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 105 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:    174, rd_minus:    268, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 106 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:    102, rd_minus:    100, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 107 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:    792, rd_minus:    804, [ANGLE_HIDE] embedded 1, written_angle 3, bit_index 108 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:    156, rd_minus:    156, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 109 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   6420, rd_minus:     -1, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 110 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   4708, rd_minus:     -1, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 111 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   2632, rd_minus:   6688, [ANGLE_HIDE] embedded 1, written_angle 5, bit_index 112 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   1678, rd_minus:   1608, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 113 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   6322, rd_minus:   5124, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 114 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   1198, rd_minus:   1242, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 115 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   8388, rd_minus:  10498, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 116 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   4454, rd_minus:   5222, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 117 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:     -1, rd_minus:   4838, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 118 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   1252, rd_minus:   1294, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 119 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   1354, rd_minus:   1380, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 120 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:  11892, rd_minus:  13472, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 121 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   4052, rd_minus:   3996, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 122 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   3200, rd_minus:   3192, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 123 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:    464, rd_minus:    448, [ANGLE_HIDE] embedded 1, written_angle 3, bit_index 124 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:     94, rd_minus:    114, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 125 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   3864, rd_minus:   4048, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 126 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:     -1, rd_minus:   6996, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 127 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:  18794, rd_minus:  28946, [ANGLE_HIDE] embedded 1, written_angle 5, bit_index 128 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:    184, rd_minus:    204, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 129 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   4124, rd_minus:   4112, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 130 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:     -1, rd_minus:   4744, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 131 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:     -1, rd_minus:   6696, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 132 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   5224, rd_minus:   5976, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 133 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   3162, rd_minus:     -1, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 134 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   3114, rd_minus:   2886, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 135 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   1396, rd_minus:     -1, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 136 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   1120, rd_minus:     -1, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 137 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:     -1, rd_minus:   2786, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 138 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   5646, rd_minus:     -1, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 139 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   2552, rd_minus:   2224, [ANGLE_HIDE] embedded 1, written_angle 5, bit_index 140 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:     -1, rd_minus:   5952, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 141 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   2418, rd_minus:     -1, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 142 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   2524, rd_minus:     -1, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 143 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   3090, rd_minus:   2798, [ANGLE_HIDE] embedded 1, written_angle 3, bit_index 144 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   6448, rd_minus:     -1, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 145 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:  15180, rd_minus:  14970, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 146 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   3118, rd_minus:   3258, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 147 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   7190, rd_minus:   7892, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 148 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:  84278, rd_minus:     -1, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 149 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   6896, rd_minus:   6274, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 150 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   3220, rd_minus:   3370, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 151 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   5978, rd_minus:   5688, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 152 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   6170, rd_minus:   6344, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 153 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:  10744, rd_minus:   8350, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 154 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:  19448, rd_minus:  15694, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 155 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:  16484, rd_minus:  12444, [ANGLE_HIDE] embedded 1, written_angle 3, bit_index 156 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:  18006, rd_minus:  17154, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 157 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:  16584, rd_minus:     -1, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 158 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   7716, rd_minus:   7796, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 159 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   3134, rd_minus:   3070, [ANGLE_HIDE] embedded 1, written_angle 1, bit_index 160 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   9614, rd_minus:   9764, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 161 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   5044, rd_minus:   4284, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 162 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:  16470, rd_minus:  16460, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 163 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   8962, rd_minus:  10934, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 164 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   2616, rd_minus:   2676, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 165 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   3424, rd_minus:   5172, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 166 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   4752, rd_minus:   5614, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 167 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   1994, rd_minus:   1740, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 168 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:     -1, rd_minus:   5500, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 169 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:     -1, rd_minus:   3784, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 170 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   7724, rd_minus:   7712, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 171 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:  15380, rd_minus:  15846, [ANGLE_HIDE] embedded 1, written_angle 5, bit_index 172 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:  15972, rd_minus:  13664, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 173 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:     -1, rd_minus:   2718, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 174 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   2548, rd_minus:     -1, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 175 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:    634, rd_minus:     -1, [ANGLE_HIDE] embedded 1, written_angle 1, bit_index 176 / 2072, payload_bits 2048, end_bits 24
