Using AOMedia Project AV1 Encoder v3.11.0
[HIDE] rd_plus:  19390, rd_minus:  19368, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 1 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:     -1, rd_minus:    200, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 34 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   2240, rd_minus:   2212, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 35 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:     -1, rd_minus:   6798, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 36 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   6316, rd_minus:   6536, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 37 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:     -1, rd_minus:   2768, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 38 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:  19290, rd_minus:  14522, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 39 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   9392, rd_minus:  12914, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 40 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   8638, rd_minus:  10650, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 41 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   4310, rd_minus:     -1, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 42 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:    404, rd_minus:    392, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 43 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:  10190, rd_minus:     -1, [ANGLE_HIDE] embedded 1, written_angle 1, bit_index 44 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   2800, rd_minus:   2720, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 45 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   6772, rd_minus:   5812, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 46 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   5132, rd_minus:   6738, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 47 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   2758, rd_minus:   3008, [ANGLE_HIDE] embedded 1, written_angle 3, bit_index 48 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:  16040, rd_minus:  15250, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 49 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   1372, rd_minus:   1398, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 50 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:  12084, rd_minus:  13360, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 51 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:    764, rd_minus:    632, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 52 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:  16306, rd_minus:  17188, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 53 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   2370, rd_minus:     -1, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 54 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:  11366, rd_minus:  12766, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 55 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:     -1, rd_minus:  10042, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 56 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   3064, rd_minus:     -1, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 57 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   4086, rd_minus:   4048, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 58 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   4932, rd_minus:   5516, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 59 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:    700, rd_minus:    724, [ANGLE_HIDE] embedded 1, written_angle 3, bit_index 60 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   4122, rd_minus:   4400, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 61 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   3692, rd_minus:   4606, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 62 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:    784, rd_minus:    834, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 63 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   2000, rd_minus:     -1, [ANGLE_HIDE] embedded 1, written_angle 1, bit_index 64 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   7304, rd_minus:   9216, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 65 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:    548, rd_minus:    472, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 66 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   1282, rd_minus:     -1, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 67 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:     -1, rd_minus:   2600, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 68 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:  12250, rd_minus:  10010, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 69 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:    534, rd_minus:    572, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 70 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   2418, rd_minus:   2606, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 71 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   1344, rd_minus:     -1, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 72 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   8494, rd_minus:   4134, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 73 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   1772, rd_minus:   1516, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 74 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:    348, rd_minus:    380, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 75 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   2938, rd_minus:   2818, [ANGLE_HIDE] embedded 1, written_angle 3, bit_index 76 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:  10072, rd_minus:  10408, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 77 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   6110, rd_minus:     -1, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 78 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:  14020, rd_minus:   9924, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 79 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:    422, rd_minus:    390, [ANGLE_HIDE] embedded 1, written_angle 1, bit_index 80 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:    902, rd_minus:   1040, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 81 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:    568, rd_minus:    516, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 82 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:     -1, rd_minus:    128, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 83 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:    502, rd_minus:    770, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 84 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   9212, rd_minus:   9468, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 85 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   3400, rd_minus:   3100, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 86 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   1708, rd_minus:   1832, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 87 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:     -1, rd_minus:    960, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 88 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:     -1, rd_minus:   1498, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 89 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:    812, rd_minus:    804, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 90 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   1782, rd_minus:   1828, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 91 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:    652, rd_minus:   1014, [ANGLE_HIDE] embedded 1, written_angle 5, bit_index 92 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   1884, rd_minus:   1284, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 93 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:    642, rd_minus:    338, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 94 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   1438, rd_minus:   1424, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 95 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   2564, rd_minus:   2604, [ANGLE_HIDE] embedded 1, written_angle 3, bit_index 96 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   2348, rd_minus:   2480, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 97 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:    324, rd_minus:    580, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 98 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   6488, rd_minus:   9232, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 99 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   5672, rd_minus:   9374, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 100 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   1108, rd_minus:     -1, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 101 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   4570, rd_minus:   4604, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 102 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   2012, rd_minus:     -1, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 103 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:    360, rd_minus:    104, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 104 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:     74, rd_minus:     74, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 105 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:  16458, rd_minus:   9612, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 106 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   7976, rd_minus:   6852, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 107 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   4084, rd_minus:   3196, [ANGLE_HIDE] embedded 1, written_angle 3, bit_index 108 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:    960, rd_minus:    678, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 109 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:     -1, rd_minus:   1832, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 110 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:     76, rd_minus:     76, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 111 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:     58, rd_minus:     50, [ANGLE_HIDE] embedded 1, written_angle 3, bit_index 112 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   2882, rd_minus:   5982, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 113 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   2976, rd_minus:     -1, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 114 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:    488, rd_minus:     -1, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 115 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   4470, rd_minus:   5240, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 116 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   4764, rd_minus:   5012, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 117 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   2632, rd_minus:   2582, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 118 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   3018, rd_minus:   4736, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 119 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:    248, rd_minus:    168, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 120 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:     -1, rd_minus:   2820, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 121 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:     -1, rd_minus:   3882, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 122 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   7086, rd_minus:   6354, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 123 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   2076, rd_minus:   2314, [ANGLE_HIDE] embedded 1, written_angle 1, bit_index 124 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   2052, rd_minus:   1980, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 125 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   4636, rd_minus:   4074, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 126 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   3620, rd_minus:   3464, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 127 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   5204, rd_minus:     -1, [ANGLE_HIDE] embedded 1, written_angle 1, bit_index 128 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   1922, rd_minus:   1366, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 129 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   3740, rd_minus:   5344, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 130 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   5258, rd_minus:     -1, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 131 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   3556, rd_minus:   3470, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 132 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   7386, rd_minus:   6860, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 133 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   4844, rd_minus:   4724, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 134 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:    164, rd_minus:    164, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 135 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:     -1, rd_minus:    354, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 136 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:    256, rd_minus:    278, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 137 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   3028, rd_minus:   3340, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 138 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   6808, rd_minus:   7728, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 139 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   6590, rd_minus:     -1, [ANGLE_HIDE] embedded 1, written_angle 1, bit_index 140 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   3578, rd_minus:   3152, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 141 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   2150, rd_minus:     -1, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 142 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:  31486, rd_minus:  33636, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 143 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   2424, rd_minus:   2600, [ANGLE_HIDE] embedded 1, written_angle 3, bit_index 144 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   4042, rd_minus:   3862, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 145 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:    672, rd_minus:    716, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 146 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:    172, rd_minus:     -1, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 147 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:  11366, rd_minus:  12334, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 148 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   5558, rd_minus:     -1, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 149 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:  15108, rd_minus:  14528, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 150 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   1390, rd_minus:   1448, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 151 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:     -1, rd_minus:   1588, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 152 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:    604, rd_minus:    580, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 153 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   4076, rd_minus:   3786, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 154 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   1308, rd_minus:   3824, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 155 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:  17724, rd_minus:     -1, [ANGLE_HIDE] embedded 1, written_angle 1, bit_index 156 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   4948, rd_minus:   2524, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 157 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:     -1, rd_minus:   3024, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 158 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   5904, rd_minus:   5406, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 159 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   5560, rd_minus:   4132, [ANGLE_HIDE] embedded 1, written_angle 5, bit_index 160 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:    358, rd_minus:    580, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 161 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:     -1, rd_minus:   2902, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 162 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   6998, rd_minus:     -1, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 163 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   1984, rd_minus:   1690, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 164 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:     -1, rd_minus:   2252, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 165 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   2064, rd_minus:   2694, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 166 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   3384, rd_minus:   3080, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 167 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   1002, rd_minus:   1184, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 168 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   5314, rd_minus:   4072, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 169 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:     98, rd_minus:    110, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 170 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   1550, rd_minus:   1602, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 171 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:    898, rd_minus:    918, [ANGLE_HIDE] embedded 1, written_angle 5, bit_index 172 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   3252, rd_minus:   2310, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 173 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:    180, rd_minus:    152, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 174 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:     76, rd_minus:     74, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 175 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   1276, rd_minus:   1256, [ANGLE_HIDE] embedded 1, written_angle 1, bit_index 176 / 2072, payload_bits 2048, end_bits 24
